playlist_name,curator_name,curator_id,playlist_url,follower_count,track_count
UNSIGNED PLAYLIST,THE UNDERGROUND CO.,317ftyyv2fsyht4u3g3ounzi2zxy,https://open.spotify.com/playlist/2823LlS6OZlbQuOwqNoDOq,31898,19
French Cafe Lounge,Kam Diba,kamdiba,https://open.spotify.com/playlist/3x6xRt9FnSbfPbgiO6incZ,425001,116
GD,Soungbin,31m7vmq6dwzmd37zl6fntccriehq,https://open.spotify.com/playlist/01pZb3xG9sxMlONV7rJaLN,16,44
Fresh Finds,Luxury Music Group,31tt7w4wzjko7uqgpf3j3wpfzovq,https://open.spotify.com/playlist/36RamM9CmTd9B9U7Et7RQO,11989,32
midwest emo bangers,leigha,zayq9ecn0i1zcz5yd1hbnofvy,https://open.spotify.com/playlist/28bTLl8nqUb4Pxdaf2U1hr,36879,150
\_/,Filipe Pereira,1170870283,https://open.spotify.com/playlist/5gUjpzkqZ4AN3La2Cbv6FN,1,229
Next Big Thing in Music,THE NEW MUSIC STATION,31bflgcgiyaec72inkyxnzan2bbq,https://open.spotify.com/playlist/0JVxi0x998kw5RFe9pnzgX,27689,54
Popular Christmas Songs ❄️🎄,Lauren,j56o61v49o50jtej2b9cqptjm,https://open.spotify.com/playlist/7l4sdtYsHVypensTVz8rb3,454521,87
@_,YyYvy,31rhy7oeb75ssgjw252f5dz33l7a,https://open.spotify.com/playlist/3o533T5DHLo0XxPcJa7cVp,8,431
Unsigned Music Only,NEW BLUEZ,31hpap3wwmtuvz3sx2pvmhsts64a,https://open.spotify.com/playlist/7q8uXhXBhPsaIWsvCHbNcO,4272,23
90s Hip Hop Classics,Nick Minto,nick.minto,https://open.spotify.com/playlist/6lJ6bBkC4VPGIPf35HgX2C,188380,316
|-/,rileyvxss,1263939583,https://open.spotify.com/playlist/5RNNPvdHPMUIFSi1HdWWdA,7,88
Undiscovered Indie,losshack,losshack,https://open.spotify.com/playlist/7mHYLxq9hKmPGGv47fLlXB,619,72
2017 rap hits 💯,Caleb Bussey,fish_stick,https://open.spotify.com/playlist/5G3iXJDuJ8QYJ3uElq5IW9,22264,303
(@＊@),naomi,7ynwgjiuve7rny4p10tdel1gr,https://open.spotify.com/playlist/11L1vfiPqHy6H5KeOaRr76,0,1084
Upcoming New Artists,Groans Jin,31sdszcm7a5u2j32coiyyau7s34m,https://open.spotify.com/playlist/2Pv3lsqI0LjDpfNJwlKxkj,1181,33
Corridos Tumbados 2025 🔥🎶 Lo más sonado 2025 Corridos Belicos,Coweer_Playlist,cmcopr7meeoakn6ff9qn2cws3,https://open.spotify.com/playlist/3eE0y6XT9cCzP7tt7XVctM,12059,106
$$&@.com,samx1,31c2tca4kpp5rr5tpz5ynhqf34kq,https://open.spotify.com/playlist/16yyTZJdq18Azdv91cIoIa,1,498
Deep Feels,Virtue Playlists,31mdtev3uigmkyrrhbse7dkoczy4,https://open.spotify.com/playlist/1WKckNxOpLX2lALeHdM80A,1567,73
TODAYS HIP-HOP/ R&B HITS 🔥🔥,HOPE SOUNDZ,4kmyuv6tr6t6o60wymh10m3k3,https://open.spotify.com/playlist/3HdSckkMqRWQ7AYNbIS9Xt,5249,152
gg,RustyDuramax,g9ov8444qj86vwdpnlha56fns,https://open.spotify.com/playlist/0YS2mhZ3GT6YSBV3UPhQHr,2,1228
Hot Hits,Woopie Luncheon,31vrap5o3copat4eid7noxpg3dnm,https://open.spotify.com/playlist/11yn3iamstWcLFxtPmLQNv,73243,60
Chart Toppers: Pop 100,MelodiaX,31vxolidznzuc6qmgxjz6ookhkfu,https://open.spotify.com/playlist/7fSFcqt826f5B1Gt4JEkKM,5396,115
@@@,drake :),6bk0cgnwfjla2rbdv5k49qxsk,https://open.spotify.com/playlist/6ocFWYmiPEOjaxMRp7DHs4,2,349
Discover Weekly,The TasteMakers Inc.,ufirlk2fvmqlu3cl72y6cq7su,https://open.spotify.com/playlist/2kV2g7uCTlYvASTkQGHx1l,4753,43
2025 CLEAN RAP/HIPHOP ,Kaleb Koch 😎😇,kalebkoch13,https://open.spotify.com/playlist/0UvJOTafoKNLqhSbziJ5Ek,8651,112
@@@,tomas,fvu6ffxr8qxsydys9pekjt773,https://open.spotify.com/playlist/0auv8WFkNIWKTO9nfUIvfB,3,220
